base_id,clip_number,model_name,domain_Time on Task_dist,domain_Classroom Culture_dist,domain_Instruction_dist,domain_Socioemotional Skills_dist,overall_distance
256305,first,0-TEST-Control,0.3333333333333333,0.2777777777777778,0.421875,0.2727272727272727,0.3352825126262626
256305,last,0-TEST-Control,0.4166666666666667,0.3333333333333333,0.234375,0.13636363636363635,0.26195549242424243
1304765,first,0-TEST-Control,0.08333333333333333,0.4444444444444444,0.25,0.29545454545454547,0.28497474747474744
1304765,last,0-TEST-Control,0.0,0.4166666666666667,0.46875,0.3181818181818182,0.3477746212121212
256776,last,0-TEST-Control,0.5833333333333334,0.5833333333333334,0.375,0.09090909090909091,0.387310606060606
358317,first,0-TEST-Control,0.0,0.4166666666666667,0.359375,0.29545454545454547,0.303811553030303
392753,first,0-TEST-Control,0.16666666666666666,0.3333333333333333,0.40625,0.38636363636363635,0.34711174242424236
392753,last,0-TEST-Control,0.08333333333333333,0.3888888888888889,0.40625,0.4318181818181818,0.35986426767676766
393009,first,0-TEST-Control,0.0,0.3888888888888889,0.140625,0.18181818181818182,0.19189551767676766
393009,last,0-TEST-Control,0.25,0.5,0.25,0.22727272727272727,0.3068181818181818
393322,first,0-TEST-Control,0.16666666666666666,0.5555555555555556,0.328125,0.09090909090909091,0.3014599116161616
415992,last,0-TEST-Control,0.5833333333333334,0.3888888888888889,0.3125,0.36363636363636365,0.38500631313131317
416594,first,0-TEST-Control,0.16666666666666666,0.3888888888888889,0.4375,0.25,0.3378472222222222
416990,first,0-TEST-Control,0.3333333333333333,0.19444444444444445,0.296875,0.18181818181818182,0.24797190656565654
416990,last,0-TEST-Control,0.5,0.6111111111111112,0.375,0.4090909090909091,0.46130050505050507
238089,first,0-TEST-Control,0.4166666666666667,0.4166666666666667,0.203125,0.1590909090909091,0.277533143939394
320879,first,0-TEST-Control,0.4166666666666667,0.4166666666666667,0.421875,0.4090909090909091,0.41659564393939397
320879,last,0-TEST-Control,0.08333333333333333,0.4722222222222222,0.46875,0.20454545454545456,0.3457544191919192
320978,last,0-TEST-Control,0.16666666666666666,0.3888888888888889,0.21875,0.1590909090909091,0.23855744949494948
321356,last,0-TEST-Control,0.3333333333333333,0.3611111111111111,0.328125,0.2727272727272727,0.3233033459595959
1126747,last,0-TEST-Control,0.0,0.4166666666666667,0.328125,0.5454545454545454,0.355374053030303
1422534,first,0-TEST-Control,0.0,0.25,0.234375,0.18181818181818182,0.18998579545454547
1723923,first,0-TEST-Control,0.4166666666666667,0.4722222222222222,0.203125,0.18181818181818182,0.297103851010101
1723923,last,0-TEST-Control,0.0,0.2777777777777778,0.484375,0.20454545454545456,0.2901120580808081
347468,first,0-TEST-Control,0.5,0.3611111111111111,0.25,0.20454545454545456,0.3039141414141414
347468,last,0-TEST-Control,0.25,0.3888888888888889,0.21875,0.25,0.2737847222222222
389163,last,0-TEST-Control,0.25,0.5,0.640625,0.3409090909090909,0.4719460227272727
389817,first,0-TEST-Control,0.0,0.3055555555555556,0.203125,0.22727272727272727,0.20430082070707073
443614,first,0-TEST-Control,0.3333333333333333,0.3055555555555556,0.234375,0.20454545454545456,0.25955650252525253
443614,last,0-TEST-Control,0.5,0.3055555555555556,0.34375,0.1590909090909091,0.3114741161616162
444869,first,0-TEST-Control,0.16666666666666666,0.4444444444444444,0.15625,0.13636363636363635,0.2248895202020202
447268,last,0-TEST-Control,0.0,0.3888888888888889,0.296875,0.20454545454545456,0.25226483585858583
447789,last,0-TEST-Control,0.08333333333333333,0.3333333333333333,0.140625,0.18181818181818182,0.19050662878787877
652768,first,0-TEST-Control,0.25,0.2222222222222222,0.40625,0.5227272727272727,0.3659248737373737
784199,last,0-TEST-Control,0.08333333333333333,0.3055555555555556,0.15625,0.1590909090909091,0.18334911616161617
206128,first,0-TEST-Control,0.3333333333333333,0.2222222222222222,0.5625,0.3181818181818182,0.38197601010101007
206128,last,0-TEST-Control,0.08333333333333333,0.3055555555555556,0.328125,0.18181818181818182,0.24918718434343434
207258,last,0-TEST-Control,0.5,0.3888888888888889,0.296875,0.38636363636363635,0.3727193813131313
232512,last,0-TEST-Control,0.16666666666666666,0.3333333333333333,0.328125,0.3181818181818182,0.30272253787878783
233692,last,0-TEST-Control,0.6666666666666666,0.5833333333333334,0.125,0.7045454545454546,0.465719696969697
408856,first,0-TEST-Control,0.08333333333333333,0.25,0.421875,0.38636363636363635,0.31924715909090906
486621,first,0-TEST-Control,0.16666666666666666,0.3333333333333333,0.421875,0.18181818181818182,0.3014441287878788
688242,first,0-TEST-Control,0.16666666666666666,0.3055555555555556,0.1875,0.1590909090909091,0.20678661616161614
818856,last,0-TEST-Control,0.5,0.19444444444444445,0.265625,0.2727272727272727,0.2847616792929293
292730,last,0-TEST-Control,0.0,0.4722222222222222,0.359375,0.25,0.30633680555555554
296012,first,0-TEST-Control,0.08333333333333333,0.5277777777777778,0.15625,0.1590909090909091,0.23890467171717172
296012,last,0-TEST-Control,0.4166666666666667,0.4444444444444444,0.328125,0.36363636363636365,0.379363952020202
425207,first,0-TEST-Control,0.08333333333333333,0.19444444444444445,0.484375,0.4090909090909091,0.3329150883838384
425207,last,0-TEST-Control,0.0,0.4166666666666667,0.421875,0.3409090909090909,0.3370501893939394
425983,first,0-TEST-Control,0.08333333333333333,0.3333333333333333,0.5,0.18181818181818182,0.3162878787878788
515916,last,0-TEST-Control,0.08333333333333333,0.4166666666666667,0.40625,0.4772727272727273,0.3781723484848485
541433,last,0-TEST-Control,0.25,0.5277777777777778,0.484375,0.1590909090909091,0.3787484217171717
296160,first,0-TEST-Control,0.4166666666666667,0.3611111111111111,0.296875,0.4318181818181818,0.36463857323232324
296160,last,0-TEST-Control,0.5,0.4444444444444444,0.390625,0.22727272727272727,0.37964804292929294
624247,last,0-TEST-Control,0.9166666666666666,0.3333333333333333,0.46875,0.36363636363636365,0.47580492424242427
712950,last,0-TEST-Control,0.6666666666666666,0.4166666666666667,0.3125,0.4318181818181818,0.42149621212121213
379859,last,0-TEST-Control,0.3333333333333333,0.3611111111111111,0.375,0.3181818181818182,0.3510732323232323
381855,last,0-TEST-Control,0.0,0.2222222222222222,0.21875,0.4772727272727273,0.2514362373737374
420703,first,0-TEST-Control,0.3333333333333333,0.3611111111111111,0.3125,0.25,0.3121527777777778
269357,first,0-TEST-Control,0.08333333333333333,0.4166666666666667,0.421875,0.4772727272727273,0.38364109848484845
269357,last,0-TEST-Control,0.8333333333333334,0.3333333333333333,0.53125,0.22727272727272727,0.4510890151515151
690867,last,0-TEST-Control,0.9166666666666666,0.4166666666666667,0.3125,0.8636363636363636,0.5669507575757575
269860,first,0-TEST-Control,1.0,1.0,1.0,1.0,1.0
366336,first,0-TEST-Control,0.0,0.3611111111111111,0.5,0.4772727272727273,0.3845959595959596
366336,last,0-TEST-Control,0.3333333333333333,0.3888888888888889,0.375,0.3181818181818182,0.35801767676767676
349662,first,0-TEST-Control,0.5,0.3611111111111111,0.046875,0.3181818181818182,0.2612294823232323
349662,last,0-TEST-Control,0.5833333333333334,0.3333333333333333,0.3125,0.1590909090909091,0.31998106060606063
357848,first,0-TEST-Control,0.0,0.2777777777777778,0.328125,0.6136363636363636,0.3376972853535354
512160,first,0-TEST-Control,0.6666666666666666,0.6666666666666666,0.375,0.25,0.46041666666666664
715367,first,0-TEST-Control,0.25,0.3611111111111111,0.265625,0.4090909090909091,0.32301925505050505
715367,last,0-TEST-Control,0.16666666666666666,0.3888888888888889,0.25,0.38636363636363635,0.3063131313131313
746602,first,0-TEST-Control,0.25,0.2777777777777778,0.328125,0.36363636363636365,0.31269728535353536
838565,first,0-TEST-Control,0.16666666666666666,0.3333333333333333,0.421875,0.13636363636363635,0.2900804924242424
208751,first,0-TEST-Control,0.08333333333333333,0.5277777777777778,0.359375,0.3181818181818182,0.349771148989899
1166503,last,0-TEST-Control,0.08333333333333333,0.4166666666666667,0.71875,0.7727272727272727,0.5614109848484847
263442,last,0-TEST-Control,0.25,0.2777777777777778,0.75,0.5681818181818182,0.5114898989898989
263673,first,0-TEST-Control,0.16666666666666666,0.2777777777777778,0.15625,0.1590909090909091,0.1889046717171717
263772,last,0-TEST-Control,0.9166666666666666,0.4166666666666667,0.640625,0.3181818181818182,0.5454308712121212
449413,first,0-TEST-Control,0.0,0.4444444444444444,0.484375,0.38636363636363635,0.37723327020202013
449413,last,0-TEST-Control,0.0,0.3333333333333333,0.4375,0.36363636363636365,0.32736742424242427
455840,first,0-TEST-Control,0.0,0.25,0.96875,0.45454545454545453,0.5151988636363636
484600,first,0-TEST-Control,0.0,0.3611111111111111,0.46875,0.6136363636363636,0.40774936868686873
484600,last,0-TEST-Control,0.0,0.25,0.5,0.36363636363636365,0.3284090909090909
860783,first,0-TEST-Control,0.08333333333333333,0.4444444444444444,0.3125,0.3181818181818182,0.31253156565656565
