Route,School_Clip,Person to Score,Teachear provides learning activity to most students - 1st Snapshot,Students are on task - 1st snapshot,Teachear provides learning activity to most students - 2nd Snapshot,Students are on task - 2nd snapshot,Teachear provides learning activity to most students - 3rd Snapshot,Students are on task - 3rd snapshot,1. Supportive Learning Environment,1.1 The teacher treats all students respectfully,1.2 The teacher uses positive language,1.3 The teacher responds to students needs,1.4 The teacher does not exhibit gender biasâ¦,2. Positive Behavioral Expectations,2.1 The teacher sets clear behavioral expectations,2.2 The teacher acknowledges positive student behavior,2.3 The teacher redirects misbehaviorâ¦,3. Lesson Facilitation,3.1 The teacher explicitly articulatesâ¦,3.2 The teacher's explanation of content is clear,3.3 The teacher makes connections in the lessonâ¦,3.4 The teacher models by enacting or thinking aloud,4. Checks for understanding,"""4.1 The teacher uses questions","promptsâ¦""",4.2 The teacher monitors most studentsâ¦,4.3 The teacher adjusts teaching to the level of students,5. Feedback,5.1 The teacher provides specific comments or promptsâ¦. Misunderstandings,5.2 The teacher provides specific comments or promptsâ¦. Successes,6. Critical Thinking,6.1 The teacher asks open-ended questions,6.2 The teacher provides thinking tasks,6.3 The students ask open-ended questions or performs thinking tasks,7. Autonomy,7.1 The teacher provides students with choices,7.2 The teacher provides students with opportunitiesâ¦.,7.3 The students volunteer to participate in the classroom,8. Perseverance,8.1 The teacher acknoledges students' efforts,8.2 The teacher has a positive attitude towards students' challenges,8.3 The teacher encourages goal-setting,9. Social & Collaborative Skills,9.1 The teacher promotes students' collaborationâ¦,9.2 The teacher promotes students' interpersonal skills,9.3 Students collaborate with one anotherâ¦.,Unnamed,Unnamed_1,Source Table,Unnamed_2,clip,Person Scoring,1.4 The teacher does not exhibit gender bias,2.3 The teacher redirects misbehavior,3.1 The teacher explicitly articulates,3.3 The teacher makes connections in the lesson,"prompts""",4.2 The teacher monitors most students,5.1 The teacher provides specific comments or prompts. Misunderstandings,5.2 The teacher provides specific comments or prompts. Successes,7.2 The teacher provides students with opportunities.,9.1 The teacher promotes students' collaboration,9.3 Students collaborate with one another.,Comments,Unnamed_3,Identifier,Audio File 1,Audio File 2,Transcription 1,Transcription 2,Language,Context
1.0,768036 Clip 1,Carolina,Y,H,Y,M,Y,M,,,,,,,,,M,,,,,,,,,,,,,,,,,,,M,M,,,,,,,,,Hablan en otra lengua,,,Peru,,,,,,,,,,,,,,,,,observation_00015,,,,,,
1.0,768036 Clip 2,Carolina,Y,M,Y,H,N,,,,,,,,,,M,,,,,,,,,,,,,,,,,,,M,M,,,,,,M,,M,Hablan en otra lengua,,,Peru,,,,,,,,,,,,,,,,,observation_00016,,,,,,
2.0,358317 Clip 1,Carolina,Y,H,Y,H,Y,H,3,H,L,H,M,4,H,L,H,3,M,H,L,M,5,H,H,H,3,H,L,2,L,M,M,1,L,L,L,2,L,M,L,1,L,L,L,,,,Peru,,,,,,,,,,,,,,,,,observation_00017,,,,,,
2.0,358317 Clip 2,Carolina,Y,M,Y,H,Y,H,3,H,L,,M,4,H,L,H,3,M,H,L,L,5,H,H,H,3,H,L,2,L,M,M,2,L,L,M,2,L,M,L,1,L,L,L,,,,Peru,,,,,,,,,,,,,,,,,observation_00018,,,,,,
2.0,361337 Clip 1,Carolina,Y,H,Y,H,Y,H,4,H,H,H,M,4,H,L,H,3,M,H,L,M,5,H,H,H,3,H,L,2,L,M,M,2,L,M,M,2,L,M,L,2,M,L,M,,,,Peru,,,,,,,,,,,,,,,,,observation_00019,,,,,,
2.0,361337 Clip 2,Carolina,Y,H,Y,H,Y,M,4,H,H,H,M,3,M,L,H,3,M,H,L,H,4,M,H,M,3,H,L,3,L,M,M,3,L,H,M,2,L,M,L,2,M,L,M,,,,Peru,,,,,,,,,,,,,,,,,observation_00020,,,,,,
2.0,392753 Clip 1,Carolina,Y,H,Y,M,Y,M,4,H,H,,M,2,M,L,M,4,M,H,M,H,5,H,H,H,3,H,L,2,L,M,M,3,M,M,M,2,L,M,L,3,H,L,H,,,,Peru,,,,,,,,,,,,,,,,,observation_00021,,,,,,
2.0,392753 Clip 2,Carolina,Y,M,Y,H,Y,H,4,H,H,,M,4,H,L,H,3,M,H,L,H,4,M,H,M,3,H,L,2,L,M,M,3,L,H,M,2,L,M,L,3,M,L,H,,,,Peru,,,,,,,,,,,,,,,,,observation_00022,,,,,,
2.0,393009 Clip 1,Carolina,Y,H,Y,H,Y,H,3,H,M,,L,4,H,L,H,3,H,H,L,L,2,M,L,L,1,L,L,1,L,L,L,2,L,M,M,2,L,M,L,1,L,L,L,,,,Peru,,,,,,,,,,,,,,,,,observation_00023,,,,,,
2.0,393009 Clip 2,Carolina,Y,H,Y,H,Y,H,4,H,H,,M,4,H,L,H,3,M,H,L,L,2,M,,L,2,M,L,1,L,L,L,2,L,M,M,2,L,M,L,1,L,L,L,,,,Peru,,,,,,,,,,,,,,,,,observation_00024,,,,,,
2.0,393322 Clip 1,Carolina,Y,H,Y,M,Y,M,4,H,H,,M,4,H,L,H,4,M,H,M,H,3,M,,M,3,H,L,1,L,L,L,2,L,L,M,2,L,M,L,1,L,L,L,,,,Peru,,,,,,,,,,,,,,,,,observation_00025,,,,,,
2.0,393322 Clip 2,Carolina,Y,L,Y,L,Y,M,2,L,M,M,M,2,L,L,M,3,M,H,L,H,2,M,M,L,1,L,L,2,L,M,M,2,L,M,M,2,L,M,L,1,L,L,L,,,,Peru,,,,,,,,,,,,,,,,,observation_00026,,,,,,
2.0,415992 Clip 1,Carolina,Y,L,Y,L,Y,M,4,H,H,,M,2,L,L,M,3,M,H,M,M,3,H,H,L,1,L,L,2,L,M,M,2,L,M,M,2,L,M,L,1,L,L,L,,,,Peru,,,,,,,,,,,,,,,,,observation_00027,,,,,,
2.0,415992 Clip 2,Carolina,Y,M,Y,L,N,,4,H,H,,M,2,M,L,M,3,M,H,L,L,3,H,H,L,3,H,L,2,L,M,M,2,L,L,M,2,L,M,L,3,L,L,H,,,,Peru,,,,,,,,,,,,,,,,,observation_00028,,,,,,
2.0,416594 Clip 1,Carolina,Y,H,Y,H,Y,M,4,H,H,,M,3,H,L,M,3,M,H,L,M,5,H,,H,2,M,L,2,L,M,M,3,L,M,H,2,L,M,L,2,L,M,L,,,,Peru,,,,,,,,,,,,,,,,,observation_00029,,,,,,
2.0,416594 Clip 2,Carolina,Y,M,Y,H,Y,H,4,H,H,,M,3,H,L,M,3,H,H,L,M,5,H,H,H,3,H,L,2,L,M,M,3,L,M,H,3,L,H,L,2,L,M,L,,,,Peru,,,,,,,,,,,,,,,,,observation_00030,,,,,,
2.0,416990 Clip 1,Carolina,Y,H,N,,Y,H,4,H,H,H,M,4,H,L,H,3,M,H,L,H,2,M,,L,2,M,L,2,L,M,M,2,L,M,M,2,L,M,L,1,L,L,L,,,,Peru,,,,,,,,,,,,,,,,,observation_00031,,,,,,
2.0,416990 Clip 2,Carolina,Y,M,N,,Y,M,4,H,M,,M,2,L,M,L,3,M,H,L,M,2,M,M,L,3,H,L,2,L,M,M,2,L,M,M,2,L,M,L,3,H,L,H,,,,Peru,,,,,,,,,,,,,,,,,observation_00032,,,,,,
3.0,201129 Clip 1,Carolina,Y,H,Y,M,N,,4,H,H,,M,3,H,L,M,3,H,H,M,L,4,M,H,M,2,M,L,1,L,L,L,2,L,M,M,2,L,M,L,2,M,L,M,,,,Peru,,,,,,,,,,,,,,,,,observation_00033,,,,,,
3.0,201129 Clip 2,Carolina,Y,H,Y,H,Y,M,4,H,H,,M,2,M,L,M,3,H,H,L,L,2,M,,L,1,L,L,1,L,L,L,2,L,M,M,2,L,M,L,1,L,L,L,,,,Peru,,,,,,,,,,,,,,,,,observation_00034,,,,,,
3.0,205542 Clip 1,Carolina,Y,H,Y,M,N,,4,H,M,H,,4,H,L,H,3,M,M,L,H,3,M,M,M,1,L,L,1,L,L,L,2,L,L,M,2,L,M,L,1,L,L,L,,,,Peru,,,,,,,,,,,,,,,,,observation_00035,,,,,,
3.0,205542 Clip 2,Carolina,Y,H,Y,H,N,,4,H,M,M,,2,M,L,M,3,M,M,L,H,3,M,M,M,2,M,L,2,L,M,L,2,L,L,M,2,L,M,L,2,L,L,M,,,,Peru,,,,,,,,,,,,,,,,,observation_00036,,,,,,
3.0,237990 Clip 1,Carolina,Y,M,Y,M,Y,L,4,H,M,,M,2,M,L,M,2,L,M,L,L,2,M,M,L,1,L,L,1,L,L,L,2,L,M,L,2,L,M,L,2,L,L,M,,,,Peru,,,,,,,,,,,,,,,,,observation_00037,,,,,,
3.0,237990 Clip 2,Carolina,Y,L,Y,M,Y,M,4,H,M,,M,3,H,L,M,3,H,H,L,M,2,M,M,L,1,L,L,1,L,L,L,2,L,M,M,2,L,M,L,1,L,L,L,,,,Peru,,,,,,,,,,,,,,,,,observation_00038,,,,,,
3.0,238089 Clip 1,Carolina,N,,Y,M,Y,H,4,H,H,,M,4,H,L,H,4,H,H,M,M,2,M,,L,1,L,L,1,L,L,L,2,L,M,M,2,L,M,L,1,L,L,L,,,,Peru,,,,,,,,,,,,,,,,,observation_00039,,,,,,
3.0,238089 Clip 2,Carolina,Y,M,Y,M,Y,H,4,H,H,H,M,4,H,L,H,3,M,H,L,L,4,H,H,M,3,H,L,2,L,M,M,2,L,M,M,2,L,M,L,2,M,L,M,,,,Peru,,,,,,,,,,,,,,,,,observation_00040,,,,,,
3.0,283416 Clip 1,Carolina,Y,H,Y,M,Y,H,4,H,H,,M,4,H,L,H,4,M,H,M,H,2,M,,L,2,M,L,1,L,L,L,2,L,M,M,2,L,M,L,2,L,M,L,,,,Peru,,,,,,,,,,,,,,,,,observation_00041,,,,,,
3.0,283416 Clip 2,Carolina,Y,H,N,,Y,H,4,H,M,,M,3,H,L,M,3,H,H,M,L,2,M,M,L,1,L,L,2,L,M,M,2,L,M,M,2,L,M,L,3,H,L,H,,,,Peru,,,,,,,,,,,,,,,,,observation_00042,,,,,,
3.0,283598 Clip 1,Carolina,Y,H,Y,M,N,,4,H,H,H,M,4,H,L,H,3,H,H,M,L,2,M,,L,1,L,L,1,L,L,L,2,L,M,M,2,L,M,L,3,H,L,L,,,,Peru,,,,,,,,,,,,,,,,,observation_00043,,,,,,
3.0,283598 Clip 2,Carolina,Y,M,Y,M,Y,H,4,H,H,,M,4,H,L,H,3,M,H,L,L,5,H,H,H,3,H,L,3,M,M,M,1,L,L,L,2,L,M,L,3,H,L,H,,,,Peru,,,,,,,,,,,,,,,,,observation_00044,,,,,,
3.0,285155 Clip 1,Carolina,Y,H,Y,M,Y,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hablan en otra lengua,,,Peru,,,,,,,,,,,,,,,,,observation_00045,,,,,,
3.0,285155 Clip 2,Carolina,Y,M,Y,M,Y,M,,,,,,,,,,,,,,,,,H,,,,,,,,,,,,,,,,,,,,,Hablan en otra lengua,,,Peru,,,,,,,,,,,,,,,,,observation_00046,,,,,,
3.0,411355 Clip 1,Carolina,Y,H,N,,Y,M,4,H,H,,M,2,M,L,M,3,H,H,L,L,4,H,,M,3,H,L,3,M,H,L,2,L,M,M,2,L,M,L,1,L,L,L,,,,Peru,,,,,,,,,,,,,,,,,observation_00047,,,,,,
3.0,411355 Clip 2,Carolina,Y,H,Y,H,Y,H,4,H,H,H,M,2,M,L,M,3,M,H,H,L,4,M,,H,2,H,L,1,L,L,L,2,L,L,M,2,L,M,L,1,L,L,L,,,,Peru,,,,,,,,,,,,,,,,,observation_00048,,,,,,
4.0,226480 Clip 1,Carolina,Y,M,Y,M,Y,L,4,H,H,,M,2,L,L,M,3,L,H,M,L,4,M,,H,4,H,M,1,L,L,L,2,L,L,M,2,L,M,L,2,L,M,L,,,,Peru,,,,,,,,,,,,,,,,,observation_00049,,,,,,
4.0,226480 Clip 2,Carolina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Peru,,,,,,,,,,,,,,,,,observation_00050,,,,,,
4.0,306753 Clip 1,Carolina,N,,Y,L,N,,3,L,M,H,M,2,M,L,L,3,M,H,L,L,3,H,,L,2,M,L,2,L,M,M,2,L,M,M,2,L,M,L,1,L,L,L,,,,Peru,,,,,,,,,,,,,,,,,observation_00051,,,,,,
4.0,306753 Clip 2,Carolina,Y,H,Y,H,Y,M,4,H,H,,M,4,H,L,H,3,H,H,L,M,3,M,H,L,2,M,L,2,L,M,M,2,L,M,M,2,L,M,L,1,L,L,L,,,,Peru,,,,,,,,,,,,,,,,,observation_00052,,,,,,
4.0,312793 Clip 1,Carolina,Y,,Y,H,Y,H,4,H,H,,M,4,H,L,H,3,H,H,H,L,2,M,,L,1,L,L,3,M,L,H,3,L,M,H,2,L,M,L,2,L,M,L,En 1er snapshot no se ven SS,,,Peru,,,,,,,,,,,,,,,,,observation_00053,,,,,,
4.0,312793 Clip 2,Carolina,Y,H,Y,H,Y,H,4,H,H,H,M,5,H,H,H,3,M,H,L,L,5,H,H,H,4,H,M,2,L,M,M,2,L,M,M,2,L,M,L,4,H,M,H,,,,Peru,,,,,,,,,,,,,,,,,observation_00054,,,,,,
4.0,320879 Clip 1,Carolina,N,,Y,H,Y,M,4,H,H,,M,2,M,L,M,3,M,H,L,M,5,H,H,H,2,M,L,2,L,M,M,4,H,M,M,2,L,M,L,3,H,L,H,,,,Peru,,,,,,,,,,,,,,,,,observation_00055,,,,,,
4.0,320879 Clip 2,Carolina,Y,H,Y,M,Y,M,4,H,H,H,M,4,H,L,H,3,M,H,L,H,4,M,H,M,3,H,L,2,L,M,M,2,L,M,M,2,L,M,L,1,L,L,L,,,,Peru,,,,,,,,,,,,,,,,,observation_00056,,,,,,
4.0,320978 Clip 1,Carolina,Y,H,Y,M,N,,4,H,H,M,M,2,M,L,M,3,M,H,M,L,3,H,H,L,3,H,L,2,L,M,M,2,L,M,M,2,L,M,L,3,L,H,L,,,,Peru,,,,,,,,,,,,,,,,,observation_00057,,,,,,
4.0,320978 Clip 2,Carolina,Y,H,Y,M,Y,H,4,H,H,,M,2,M,L,M,3,M,H,L,L,3,H,H,L,2,M,L,2,L,M,M,2,L,M,M,2,L,M,L,2,L,M,L,,,,Peru,,,,,,,,,,,,,,,,,observation_00058,,,,,,
4.0,321356 Clip 1,Carolina,Y,H,Y,H,Y,H,4,H,H,,M,4,H,L,H,3,H,H,L,H,2,M,,L,2,M,L,3,H,L,H,3,L,M,H,2,L,M,L,2,L,M,L,,,,Peru,,,,,,,,,,,,,,,,,observation_00059,,,,,,
4.0,321356 Clip 2,Carolina,Y,H,Y,M,N,,4,H,H,,M,3,H,L,M,3,M,H,L,H,3,M,,M,2,M,L,1,L,L,L,3,L,M,H,2,L,M,L,2,L,M,L,,,,Peru,,,,,,,,,,,,,,,,,observation_00060,,,,,,
4.0,723288 Clip 1,Carolina,Y,M,Y,M,Y,H,3,H,H,M,L,4,H,L,H,3,L,H,H,L,3,M,H,L,1,L,L,1,L,L,L,2,L,M,M,2,L,M,L,1,L,L,L,,,,Peru,,,,,,,,,,,,,,,,,observation_00061,,,,,,
4.0,723288 Clip 2,Carolina,Y,H,Y,M,Y,M,3,H,H,H,L,4,H,L,H,3,M,H,L,L,3,M,,M,2,M,L,2,M,L,L,2,L,M,M,2,L,M,L,1,L,L,L,,,,Peru,,,,,,,,,,,,,,,,,observation_00062,,,,,,
4.0,1126747 Clip 1,Carolina,Y,H,Y,H,Y,H,3,H,L,,M,4,H,L,H,3,M,H,L,L,2,M,M,L,2,M,L,2,L,M,M,2,L,M,M,2,L,M,L,2,L,L,M,,,,Peru,,,,,,,,,,,,,,,,,observation_00063,,,,,,
4.0,1126747 Clip 2,Carolina,Y,H,Y,H,Y,H,3,H,L,,M,4,H,L,H,3,M,H,L,L,3,H,H,L,2,M,L,2,L,M,M,1,L,L,L,2,L,M,L,2,L,L,M,,,,Peru,,,,,,,,,,,,,,,,,observation_00064,,,,,,
4.0,1422534 Clip 1,Carolina,Y,M,Y,M,Y,M,3,H,H,L,M,2,M,L,M,3,M,H,L,L,2,M,M,L,2,M,L,2,L,M,M,2,L,M,M,2,L,M,L,1,L,L,L,,,,Peru,,,,,,,,,,,,,,,,,observation_00065,,,,,,
4.0,1422534 Clip 2,Carolina,Y,H,N,,Y,M,4,H,H,H,M,3,M,L,H,4,M,H,M,M,3,M,H,L,2,M,L,3,L,H,H,2,M,L,M,2,L,M,L,3,H,L,H,,,,Peru,,,,,,,,,,,,,,,,,observation_00066,,,,,,
4.0,1597251 Clip 1,Carolina,Y,H,N,,Y,H,4,H,H,,M,4,H,L,H,3,M,H,L,L,2,M,M,L,1,L,L,2,L,M,M,2,L,M,M,2,L,M,L,1,L,L,L,,,,Peru,,,,,,,,,,,,,,,,,observation_00067,,,,,,
4.0,1597251 Clip 2,Carolina,Y,H,N,,Y,H,4,H,H,,M,4,H,L,H,3,M,H,L,M,2,M,M,L,2,M,L,2,L,M,M,2,L,M,M,2,L,M,L,1,L,L,L,,,,Peru,,,,,,,,,,,,,,,,,observation_00068,,,,,,
4.0,1723923 Clip 1,Carolina,Y,H,Y,M,N,,4,H,M,,M,2,M,L,M,3,M,H,L,H,2,M,M,L,2,M,L,2,L,M,M,2,L,M,M,2,L,M,L,1,L,L,L,,,,Peru,,,,,,,,,,,,,,,,,observation_00069,,,,,,
4.0,1723923 Clip 2,Carolina,Y,M,Y,M,Y,M,2,L,L,,M,2,M,L,M,3,M,H,L,H,4,M,M,H,2,M,L,2,L,M,M,2,L,M,M,1,L,L,L,2,M,L,M,,,,Peru,,,,,,,,,,,,,,,,,observation_00070,,,,,,
5.0,421982 Clip 1,Carolina,Y,M,Y,H,Y,L,4,H,H,,M,4,H,L,H,3,M,H,L,M,3,M,M,M,2,M,L,2,L,M,M,2,L,M,M,2,L,M,L,1,L,L,L,,,,Peru,,,,,,,,,,,,,,,,,observation_00071,,,,,,
5.0,421982 Clip 2,Carolina,Y,M,Y,L,Y,M,4,H,H,,M,2,M,L,M,3,M,H,L,H,3,M,M,M,2,M,L,2,L,M,M,3,L,H,M,2,L,M,L,2,L,M,L,,,,Peru,,,,,,,,,,,,,,,,,observation_00072,,,,,,
5.0,440610 Clip 1,Carolina,Y,H,Y,H,Y,H,4,H,H,,M,4,H,L,H,2,H,H,L,L,1,L,,L,1,L,L,1,L,L,L,3,L,M,H,2,L,M,L,1,L,L,L,,,,Peru,,,,,,,,,,,,,,,,,observation_00073,,,,,,
5.0,440610 Clip 2,Carolina,Y,H,Y,M,Y,H,4,H,H,,M,4,H,L,H,3,M,H,M,L,3,H,,L,2,M,L,1,L,L,L,3,L,M,H,2,L,M,L,1,L,L,L,,,,Peru,,,,,,,,,,,,,,,,,observation_00074,,,,,,
5.0,442236 Clip 1,Carolina,Y,M,Y,M,N,,4,H,H,,M,4,H,L,H,4,M,H,M,H,2,M,,L,2,M,L,2,M,L,L,2,L,M,M,2,L,M,L,3,H,L,L,,,,Peru,,,,,,,,,,,,,,,,,observation_00075,,,,,,
5.0,442236 Clip 2,Carolina,Y,M,Y,M,Y,M,3,H,L,,M,4,H,L,H,3,M,H,L,L,4,M,H,H,3,H,L,2,L,M,M,1,L,L,L,2,L,M,L,3,H,L,H,,,,Peru,,,,,,,,,,,,,,,,,observation_00076,,,,,,
5.0,557520 Clip 1,Carolina,Y,M,Y,H,Y,M,3,H,L,,M,2,L,L,M,2,L,M,L,L,3,H,H,L,1,L,L,1,L,L,L,1,L,L,L,2,L,M,L,3,H,L,H,,,,Peru,,,,,,,,,,,,,,,,,observation_00077,,,,,,
5.0,557520 Clip 2,Carolina,Y,H,Y,H,Y,M,3,H,L,,M,2,L,L,M,2,L,M,L,L,3,H,H,L,1,L,L,1,L,L,L,1,L,L,L,2,L,M,L,3,H,L,H,,,,Peru,,,,,,,,,,,,,,,,,observation_00078,,,,,,
5.0,670430 Clip 1,Carolina,N,,Y,H,Y,H,4,H,H,,M,4,H,L,H,3,M,H,L,H,2,M,M,L,1,L,L,2,L,M,M,3,L,M,H,2,L,M,L,2,L,L,M,,,,Peru,,,,,,,,,,,,,,,,,observation_00079,,,,,,
