Route,School_Clip,Person to Score,Teachear provides learning activity to most students - 1st Snapshot,Students are on task - 1st snapshot,Teachear provides learning activity to most students - 2nd Snapshot,Students are on task - 2nd snapshot,Teachear provides learning activity to most students - 3rd Snapshot,Students are on task - 3rd snapshot,1. Supportive Learning Environment,1.1 The teacher treats all students respectfully,1.2 The teacher uses positive language,1.3 The teacher responds to students needs,1.4 The teacher does not exhibit gender biasâ¦,2. Positive Behavioral Expectations,2.1 The teacher sets clear behavioral expectations,2.2 The teacher acknowledges positive student behavior,2.3 The teacher redirects misbehaviorâ¦,3. Lesson Facilitation,3.1 The teacher explicitly articulatesâ¦,3.2 The teacher's explanation of content is clear,3.3 The teacher makes connections in the lessonâ¦,3.4 The teacher models by enacting or thinking aloud,4. Checks for understanding,"""4.1 The teacher uses questions","promptsâ¦""",4.2 The teacher monitors most studentsâ¦,4.3 The teacher adjusts teaching to the level of students,5. Feedback,5.1 The teacher provides specific comments or promptsâ¦. Misunderstandings,5.2 The teacher provides specific comments or promptsâ¦. Successes,6. Critical Thinking,6.1 The teacher asks open-ended questions,6.2 The teacher provides thinking tasks,6.3 The students ask open-ended questions or performs thinking tasks,7. Autonomy,7.1 The teacher provides students with choices,7.2 The teacher provides students with opportunitiesâ¦.,7.3 The students volunteer to participate in the classroom,8. Perseverance,8.1 The teacher acknoledges students' efforts,8.2 The teacher has a positive attitude towards students' challenges,8.3 The teacher encourages goal-setting,9. Social & Collaborative Skills,9.1 The teacher promotes students' collaborationâ¦,9.2 The teacher promotes students' interpersonal skills,9.3 Students collaborate with one anotherâ¦.,Unnamed,Unnamed_1,Source Table,Identifier,Audio File 1,Audio File 2,Transcription 1,Transcription 2,Language,Context,Video Clip 1,Video Clip 2,Video Clip 3,Video Clip 4
,,,Teachear provides learning activity to most students - 1st Snapshot,Students are on task - 1st snapshot,Teachear provides learning activity to most students - 2nd Snapshot,Students are on task - 2nd snapshot,Teachear provides learning activity to most students - 3rd Snapshot,Students are on task - 3rd snapshot,1. Supportive Learning Environment,1.1 The teacher treats all students respectfully ,1.2 The teacher uses positive language,1.3 The teacher responds to students needs,1.4 The teacher does not exhibit gender biasâ¦,2. Positive Behavioral Expectations,2.1 The teacher sets clear behavioral expectations,2.2 The teacher acknowledges positive student behavior,2.3 The teacher redirects misbehaviorâ¦,3. Lesson Facilitation,3.1 The teacher explicitly articulatesâ¦,3.2 The teacher's explanation of content is clear,3.3 The teacher makes connections in the lessonâ¦,3.4 The teacher models by enacting or thinking aloud,4. Checks for understanding,"4.1 The teacher uses questions, promptsâ¦",4.2 The teacher monitors most studentsâ¦,4.3 The teacher adjusts teaching to the level of students,5. Feedback,5.1 The teacher provides specific comments or promptsâ¦. Misunderstandings,5.2 The teacher provides specific comments or promptsâ¦. Successes,6. Critical Thinking,6.1 The teacher asks open-ended questions,6.2 The teacher provides thinking tasks,6.3 The students ask open-ended questions or performs thinking tasks,7. Autonomy,7.1 The teacher provides students with choices,7.2 The teacher provides students with opportunitiesâ¦.,7.3 The students volunteer to participate in the classroom ,8. Perseverance,8.1 The teacher acknoledges students' efforts,8.2 The teacher has a positive attitude towards students' challenges,8.3 The teacher encourages goal-setting,9. Social & Collaborative Skills,9.1 The teacher promotes students' collaborationâ¦,9.2 The teacher promotes students' interpersonal skills,9.3 Students collaborate with one anotherâ¦.,,,,Peru,,,,,,,,,,,
20.0,250563 Clip 1,Sergio,N,,Y,M,Y,H,4,H,H,M,M,4,H,L,H,4,H,H,L,L,5,H,H,M,2,L,M,3,M,H,M,3,L,H,M,2,L,M,L,4,H,L,H,,,,Peru,,,,,,,ASSIGNMENTS: assigned clip 2 (underscore): 250563_2 IE 20589 ROSA DE SANTA MARIA.MTS; sequential assignment slot 1: 250563_ IE 20589 ROSA DE SANTA MARIA.MTS,https://worldbankgroup.sharepoint.com/teams/TeachDashboardVideoLibrary-WBGroup/Shared Documents/General/Peru 2019/Ruta 20/Video/Clip 1/250563_ IE 20589 ROSA DE SANTA MARIA.MTS,https://worldbankgroup.sharepoint.com/teams/TeachDashboardVideoLibrary-WBGroup/Shared Documents/General/Peru 2019/Ruta 20/Video/250563_2 IE 20589 ROSA DE SANTA MARIA.MTS,,
20.0,317313 Clip 1,Sergio,Y,L,Y,M,Y,H,3,H,H,L,M,3,M,L,M,2,M,M,L,L,3,M,H,L,2,L,L,2,L,M,M,3,M,H,M,2,L,M,L,4,H,L,H,,,,Peru,,,,,,,ASSIGNMENTS: sequential assignment slot 1: 317313_ IE 0052 Virgen de Fatima. Lurigancho.MTS,https://worldbankgroup.sharepoint.com/teams/TeachDashboardVideoLibrary-WBGroup/Shared Documents/General/Peru 2019/Ruta 20/Video/Clip 1/317313_ IE 0052 Virgen de Fatima. Lurigancho.MTS,,,
20.0,317396 Clip 1,Sergio,Y,H,Y,H,Y,H,4,H,H,,M,4,H,L,H,4,H,H,H,M,4,H,H,M,3,M,M,5,H,H,H,4,H,L,M,2,L,M,L,4,H,L,H,,,,Peru,,,,,,,ASSIGNMENTS: sequential assignment slot 1: 317396_0060 Lurigancho -2.MTS; sequential assignment slot 2: 317396_0060 Lurigancho.MTS,https://worldbankgroup.sharepoint.com/teams/TeachDashboardVideoLibrary-WBGroup/Shared Documents/General/Peru 2019/Ruta 20/Video/317396_0060 Lurigancho -2.MTS,https://worldbankgroup.sharepoint.com/teams/TeachDashboardVideoLibrary-WBGroup/Shared Documents/General/Peru 2019/Ruta 20/Video/Clip 1/317396_0060 Lurigancho.MTS,,
20.0,318584 Clip 1,Sergio,Y,L,Y,L,Y,L,3,H,H,L,M,2,M,L,L,3,M,M,M,L,2,M,,L,2,L,L,2,L,M,L,2,L,L,M,2,L,M,L,1,L,L,L,,,,Peru,,,,,,,ASSIGNMENTS: sequential assignment slot 1: 318584 Lima Paul Harris 1201.MTS,https://worldbankgroup.sharepoint.com/teams/TeachDashboardVideoLibrary-WBGroup/Shared Documents/General/Peru 2019/Ruta 20/Video/Clip 1/318584 Lima Paul Harris 1201.MTS,,,
20.0,334938 Clip 1,Sergio,Y,H,Y,H,Y,M,3,H,H,,M,3,M,L,M,2,M,M,L,L,3,L,H,L,2,L,L,2,L,M,L,2,M,L,L,2,L,M,L,4,H,L,H,,,,Peru,,,,,,,ASSIGNMENTS: assigned clip 2 (underscore): 334938_2 LIMA 0035 NUESTRA SRA DE LA VISITACION.MTS; assigned clip 1 (underscore): 334938_1 LIMA 0035 NUESTRA SRA DE LA VISITACION.MTS,https://worldbankgroup.sharepoint.com/teams/TeachDashboardVideoLibrary-WBGroup/Shared Documents/General/Peru 2019/Ruta 20/Video/Clip 1/334938_1 LIMA 0035 NUESTRA SRA DE LA VISITACION.MTS,https://worldbankgroup.sharepoint.com/teams/TeachDashboardVideoLibrary-WBGroup/Shared Documents/General/Peru 2019/Ruta 20/Video/334938_2 LIMA 0035 NUESTRA SRA DE LA VISITACION.MTS,,
20.0,334979 Clip 1,Sergio,Y,H,Y,H,Y,M,4,H,H,,M,4,H,L,H,4,H,H,H,L,4,H,H,L,3,M,M,4,H,M,M,4,H,L,H,2,L,M,L,4,H,M,H,,,,Peru,,,,,,,ASSIGNMENTS: sequential assignment slot 1: 334979 Lima 0040 hipólito unanue.MTS,https://worldbankgroup.sharepoint.com/teams/TeachDashboardVideoLibrary-WBGroup/Shared Documents/General/Peru 2019/Ruta 20/Video/Clip 1/334979 Lima 0040 hipólito unanue.MTS,,,
20.0,339317 Clip 1,Sergio,Y,H,Y,H,Y,M,4,H,H,M,M,4,H,L,H,3,H,H,L,M,4,H,H,L,3,M,M,3,M,M,M,3,L,L,H,2,L,M,L,4,H,L,H,,,,Peru,,,,,,,ASSIGNMENTS: assigned clip 2 (underscore): 339317_2 Lima 1162 Divino Niño Jesús.MTS; assigned clip 1 (underscore): 339317_1 Lima 1162 Divino Niño Jesús.MTS,https://worldbankgroup.sharepoint.com/teams/TeachDashboardVideoLibrary-WBGroup/Shared Documents/General/Peru 2019/Ruta 20/Video/Clip 1/339317_1 Lima 1162 Divino Niño Jesús.MTS,https://worldbankgroup.sharepoint.com/teams/TeachDashboardVideoLibrary-WBGroup/Shared Documents/General/Peru 2019/Ruta 20/Video/339317_2 Lima 1162 Divino Niño Jesús.MTS,,
20.0,434688 Clip 1,Sergio,Y,M,Y,M,Y,M,4,H,H,L,M,4,H,H,M,3,H,H,L,L,3,H,H,L,3,M,M,3,H,M,M,3,L,L,M,2,L,M,L,3,M,L,H,,,,Peru,,,,,,,ASSIGNMENTS: assigned clip 2 (underscore): 434688_2 Lima 3069 Gen José de San Martín.MTS; assigned clip 1 (underscore): 434688_1 Lima 3069 Gen José de San Martín.MTS,https://worldbankgroup.sharepoint.com/teams/TeachDashboardVideoLibrary-WBGroup/Shared Documents/General/Peru 2019/Ruta 20/Video/Clip 1/434688_1 Lima 3069 Gen José de San Martín.MTS,https://worldbankgroup.sharepoint.com/teams/TeachDashboardVideoLibrary-WBGroup/Shared Documents/General/Peru 2019/Ruta 20/Video/434688_2 Lima 3069 Gen José de San Martín.MTS,,
20.0,436493 Clip 1,Sergio,N,,Y,H,Y,M,3,M,M,,M,4,H,L,H,3,H,H,L,L,4,H,H,L,1,L,L,3,M,M,M,3,L,L,H,2,L,M,L,1,L,L,L,,,,Peru,,,,,,,ASSIGNMENTS: sequential assignment slot 1: 436493_ IE 2043 SANGARARA-2.MTS; sequential assignment slot 2: 436493_ IE 2043 SANGARARA.MTS,https://worldbankgroup.sharepoint.com/teams/TeachDashboardVideoLibrary-WBGroup/Shared Documents/General/Peru 2019/Ruta 20/Video/436493_ IE 2043 SANGARARA-2.MTS,https://worldbankgroup.sharepoint.com/teams/TeachDashboardVideoLibrary-WBGroup/Shared Documents/General/Peru 2019/Ruta 20/Video/Clip 1/436493_ IE 2043 SANGARARA.MTS,,
20.0,468611 Clip 1,Sergio,Y,H,Y,H,Y,M,4,H,H,,M,4,H,L,H,4,H,H,M,L,4,H,H,M,2,L,L,2,L,M,M,3,L,L,H,2,L,M,L,4,H,M,H,,,,Peru,,,,,,,ASSIGNMENTS: assigned clip 2 (underscore): 468611_2 LIMA 4021.MTS; assigned clip 1 (underscore): 468611_1 LIMA 4021.MTS,https://worldbankgroup.sharepoint.com/teams/TeachDashboardVideoLibrary-WBGroup/Shared Documents/General/Peru 2019/Ruta 20/Video/Clip 1/468611_1 LIMA 4021.MTS,https://worldbankgroup.sharepoint.com/teams/TeachDashboardVideoLibrary-WBGroup/Shared Documents/General/Peru 2019/Ruta 20/Video/468611_2 LIMA 4021.MTS,,
