,First Audio Transcript Word Count,Last Audio Transcript Word Count,First Audio Transcript Estimated Duration Seconds,Last Audio Transcript Estimated Duration Seconds,First Audio Transcript Speaker Count,Last Audio Transcript Speaker Count
First Audio Transcript Word Count,1.0,0.1532242601553496,0.9999999999999998,0.15322426015534962,0.5943718328369106,0.05708098276097819
Last Audio Transcript Word Count,0.1532242601553496,1.0,0.1532242601553496,1.0,0.1707590407165499,0.6629941362754748
First Audio Transcript Estimated Duration Seconds,0.9999999999999998,0.1532242601553496,1.0,0.15322426015534968,0.5943718328369106,0.05708098276097821
Last Audio Transcript Estimated Duration Seconds,0.15322426015534962,1.0,0.15322426015534968,1.0,0.17075904071654993,0.6629941362754748
First Audio Transcript Speaker Count,0.5943718328369106,0.1707590407165499,0.5943718328369106,0.17075904071654993,1.0,0.26155447006932686
Last Audio Transcript Speaker Count,0.05708098276097819,0.6629941362754748,0.05708098276097821,0.6629941362754748,0.26155447006932686,1.0
